9000;Olympische Spiele sind Sportveranstaltungen, die im Sommer oder im Winter ###. Sie;stattfinden;
9001;finden alle vier Jahre in einem vorher ausgewählten ### statt. Die Sportler und Sportlerinnen;Land;
9002;nehmen an verschiedenen ### teil. Sie können im Sommer zum Beispiel an;Sportarten;
9003;Sportgymnastik, 100-Meter-Lauf, ### oder Golf teilnehmen. Im Winter nehmen sie;Schwimmen;
9004;an Biathlon, Eishockey, Eisschnelllauf oder ### teil.;Skilanglauf;
9005;Der Sieger gewinnt eine ###.;Goldmedaille;
9006;Zu den erfolgreichsten deutschen Sportlern zählt man die Eisschnellläuferin Claudia;none;
9007;Pechstein, die die Olympische ### fünf Mal gewann und die Kanutin Birgit Fischer,;Winterspiele;
9008;die Olympische Sommerspiele ### Mal gewann. Österreich hat auch seine;achten;
9009;erfolgreichsten Sportler. Der erfolgreichste Sportler der Olympischen Winterspiele ist ###;Felix
9010;Gottwald, der sieben olympischen Medaillen in der ### Kombination gewann.;Nordischen;
9011;Zu den gegenwärtigen bekanntesten Sportlern gehören zum Beispiel die ### Vincent;Skifahrer;
9012;Kriechmayr aus Österreich oder Marco Odermatt aus der ###. Als sportliche Legenden;Schweiz;
9013;können wir die Skifahrer Hermann Maier oder Marcel Hirscher, beiden aus Österreich, ###.;bezeichnen;
9014;Aus der Schweiz ist der Radfahrer Nino Schurter ### und berühmt.;bekannt;
