1000;Im Sommer spiele ich gerne ### mit meinen Freunden im Park.;Fussball;
1001;Wir gehen oft in die See ###, um uns abzukühlen.;schwimmen;
1002;Radfahren ist eine beliebte ### während der warmen Monate.;Aktivität;
1003;Für das ### braucht man bequeme Schuhe und einen Rucksack.;Wandern;
1004;In den Sommerferien ### ich gerne am Strand.;surfe;
1005;Mein Bruder mag ### und spielt es regelmäßig auf dem Tennisplatz.;Tennis;
1006;Die ### ist wichtig, um sich vor der Sonne zu schützen.;Sonnenschutzcreme;
1007;Ich träume davon, auf einem großen See zu ###.;segeln;
1008;Ein ### ist notwendig, wenn man mit dem Fahrrad unterwegs ist.;Fahrradhelm;
1009;Im Sommer besuchen wir oft ###.;Freibad;
